City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,date
0,Butaritari,3.0707,172.7902,81.66,77,89,16.64,KI,1670539997
1,Chokurdakh,70.6333,147.9167,-23.19,99,98,4.56,RU,1670539998
2,Porto Novo,6.4965,2.6036,79.57,81,80,5.61,BJ,1670539998
3,Ushuaia,-54.8,-68.3,44.26,76,100,13.8,AR,1670539745
4,Iroquois Falls,48.7669,-80.6831,5.16,92,17,2.44,CA,1670539999
5,Akhmeta,42.0311,45.2075,34.32,89,91,0.83,GE,1670539999
6,Ribeira Grande,38.5167,-28.7,59.77,82,73,11.99,PT,1670540000
7,Atuona,-9.8,-139.0333,77.9,67,65,13.98,PF,1670539902
8,Cherskiy,68.75,161.3,-13.23,84,59,3.13,RU,1670540000
9,Punta Arenas,-53.15,-70.9167,51.91,58,20,11.5,CL,1670539989
10,Ilulissat,69.2167,-51.1,32.07,72,100,6.38,GL,1670540001
11,Altay,47.8667,88.1167,0.95,53,5,7.27,CN,1670540002
12,Kyabe,9.4515,18.9449,76.62,21,98,4.27,TD,1670540002
13,Aklavik,68.2191,-135.0107,-23.8,69,40,6.91,CA,1670540002
14,Mataura,-46.1927,168.8643,63.48,55,100,1.23,NZ,1670540003
15,Busselton,-33.65,115.3333,59.99,62,35,3.56,AU,1670540003
16,Barrow,71.2906,-156.7887,10.42,85,100,5.75,US,1670540004
17,Urumqi,43.801,87.6005,0.55,85,75,4.47,CN,1670540004
18,Panama City,8.9936,-79.5197,85.95,63,20,9.22,PA,1670539802
19,Rikitea,-23.1203,-134.9692,75.33,78,71,12.62,PF,1670540005
20,Lata,40.1629,-8.3327,52.92,96,100,5.64,PT,1670540005
